Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Airport coordinates
Tyumen (Roschino),2014,324.1,374.7,392,415.8,384.7,360.3,420.1,416.6,401.2,461.8,395,473,4819.3,"(Decimal('65.348628'), Decimal('57.181514'))"
Uda,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Ulan Ude (Mukhino),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('107.443646'), Decimal('51.804919'))"
Ulyanovsk (Barataevka),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.798606'), Decimal('54.41412'))"
Ulyanovsk (East),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.798606'), Decimal('54.41412'))"
Nyagan,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.82368'), Decimal('60.117041'))"
Flora,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('134.439745'), Decimal('57.726967'))"
Urengoy,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('78.433372'), Decimal('65.963601'))"
Usinsk,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.376287'), Decimal('66.00273'))"
Ust-Kamchatsk,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('162.695013'), Decimal('56.237582'))"
Ust-Kara,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.954205'), Decimal('69.254814'))"
Ust-Kuyga,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.627498'), Decimal('70.006067'))"
Ust-Kut,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('105.716276'), Decimal('56.857224'))"
Ust-Maya,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('134.452645'), Decimal('60.364288'))"
Ust-Nera,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.118711'), Decimal('64.549707'))"
Ust-Khairyuzovo,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.738087'), Decimal('57.094231'))"
Ust-Tsilma,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.18592'), Decimal('65.432179'))"
Ufa,2014,241.69,264.01,285.51,325.4,299.13,250.72,308.31,309.71,317.03,376.18,281.65,416.88,3676.22,"(Decimal('55.883529'), Decimal('54.566329'))"
Ukhta,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.804729'), Decimal('63.555549'))"
Khabarovsk (MVL),2014,3.98,2.55,0.43,3.26,2.48,6.54,8.26,8.97,5.87,5.87,12.91,7.1,68.22,"(Decimal('135.171082'), Decimal('48.525706'))"
Khabarovsk (New),2014,1850.76,2013.78,2907.83,2592.18,2512.94,2242.75,2066.72,2118.11,2652.44,3192.19,2606.52,2417.3,29173.52,"(Decimal('135.171082'), Decimal('48.525706'))"
royal,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.849746'), Decimal('62.786965'))"
Khanty-Mansiysk,2014,45.72,58.39,66.06,63.14,69.92,59.04,67.55,79.16,79.35,85.73,67.97,66.47,808.5,"(Decimal('69.095798'), Decimal('61.026144'))"
Harwell,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('59.555959'), Decimal('66.84556'))"
Khatanga,2014,116.43,211.67,50.29,205.82,95.91,158.95,126.71,143.98,226.38,185.06,109.58,282.83,1913.61,"(Decimal('102.473016'), Decimal('71.978434'))"
Herpuchi,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.824395'), Decimal('52.976379'))"
Honuu (Girl),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.251985'), Decimal('66.451866'))"
Khorey Vere,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.04802'), Decimal('67.416494'))"
remedy,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.27157'), Decimal('56.912812'))"
Cheboksary,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.320195'), Decimal('56.082722'))"
Chyegdomyn,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Chelyabinsk (Balandino),2014,187.75,223.23,239.36,405.28,304.99,381.67,222.21,276.16,226.65,247.4,223.01,325.95,3263.66,"(Decimal('61.509282'), Decimal('55.298164'))"
Cherepovets,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.02088'), Decimal('59.281551'))"
Cherskiy,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('161.32298'), Decimal('68.747259'))"
Chizha,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.366705'), Decimal('67.084013'))"
Reads (tub),2014,127.26,152.7,201.15,205.25,223.07,254.88,252.05,289.74,189.14,223.24,223.71,267.78,2609.97,"(Decimal('113.306492'), Decimal('52.020464'))"
Çokurdah,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('147.90427'), Decimal('70.623269'))"
Çumikan,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.28347'), Decimal('54.69673'))"
Şarıpovo,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('89.169766'), Decimal('55.458343'))"
Shakhtars'k,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('142.076602'), Decimal('49.189684'))"
Şoyna,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.156661'), Decimal('67.872927'))"
Shushenskoe,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.048274'), Decimal('53.388274'))"
Egvekinot (Bay Cross),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-179.089626'), Decimal('65.885249'))"
Ekimçan,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('132.950411'), Decimal('53.074423'))"
Elista,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.330575'), Decimal('46.369401'))"
ESSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.709467'), Decimal('55.93715'))"
South kurilsk (Mendeleevo),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Yuzhno-(Khomutovo),2014,519.7,716,762.8,710.4,739.8,948.4,970.9,1132.1,1235.2,1076.3,1089.3,1205.6,11106.5,"(Decimal('142.723677'), Decimal('46.886967'))"
Yakutsk,2014,670.27,814.21,800.77,974.6,865.01,1046.2,1199.87,1223.92,1315.46,1303.55,1382.08,1443.24,13039.18,"(Decimal('129.750225'), Decimal('62.086594'))"
Yakutsk (Magan),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-6.226888'), Decimal('8.607871'))"
Yamburg,2014,1.51,3.64,0.45,1.52,1.9,4.76,4.04,1.68,1.41,3.46,3.01,2.67,30.05,"(Decimal('75.097783'), Decimal('67.980026'))"
Yaroslavl (Tunoshna),2014,528.77,735.79,649.33,625.13,654.46,568.45,425.2,501.82,621.7,878.77,561.19,793.7,7544.31,"(Decimal('40.170054'), Decimal('57.56231'))"
Yartsevo,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.203907'), Decimal('60.252931'))"
Abakan,2013,39.74,227.16,62.97,77.41,104.34,55.71,65.95,78.71,75.68,70.3,81.57,83.34,1022.88,"(Decimal('91.399735'), Decimal('53.751351'))"
Aikhal,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.543324'), Decimal('65.957161'))"
Loss,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('125.398355'), Decimal('58.602489'))"
Amderma,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.577429'), Decimal('69.759076'))"
Anadyr,2013,184,297,291,436,171,115,107,106,140,156,198,354,2555,"(Decimal('177.738273'), Decimal('64.713433'))"
Anapa (Vitjazevo),2013,19.65,30.62,38.14,40.17,42.56,63.1,75.78,77.21,68.19,55.66,48.73,49.56,609.37,"(Decimal('37.341511'), Decimal('45.003748'))"
Antypayuta,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Apatite (Khibiny),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.581999'), Decimal('67.459641'))"
Arkhangelsk (Vaskovo),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.706789'), Decimal('64.592645'))"
Arkhangelsk (Talagy),2013,167.4,161.9,176.1,215.2,291.2,246.9,184.6,166.6,168.9,249.2,368.8,504.3,2901.1,"(Decimal('40.714892'), Decimal('64.596138'))"
Astrakhan (Narimanovo),2013,50.74,60.53,74.27,84.4,114.78,80.56,80.83,84.63,93.99,112.97,84.35,102.95,1025,"(Decimal('47.999896'), Decimal('46.287344'))"
Achinsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.566467'), Decimal('56.271301'))"
Trip,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.042241'), Decimal('56.431311'))"
Auctions,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('113.479076'), Decimal('54.369366'))"
Baykit,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('96.366763'), Decimal('61.681612'))"
Barnaul (Titov Name),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('83.547723'), Decimal('53.361377'))"
In Salah,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
white Mountain,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('146.228094'), Decimal('68.553931'))"
Belgorod,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.570541'), Decimal('50.645157'))"
Novy Urengoy,2013,13.4,11.4,10.3,38.7,28.6,25.9,44.1,41.2,24.4,29.4,43.9,55.8,367.1,"(Decimal('66.694583'), Decimal('63.697412'))"
Belushi,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.623466'), Decimal('66.887693'))"
Usinsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.046174'), Decimal('63.927111'))"
Beringovsky (Branch PCF "A / P Chukotka"),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('179.293427'), Decimal('63.025373'))"
Biisk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.343842'), Decimal('52.481983'))"
Blagoveshchensk,2013,139.4,170.2,175.4,196.5,205,187.6,185.9,220.6,244,235.1,228.9,282.9,2471.5,"(Decimal('127.407536'), Decimal('50.42238'))"
Bovanenkovo,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('68.338149'), Decimal('70.319169'))"
Bogorodskoe,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('140.445792'), Decimal('52.376818'))"
Boguçanı,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('97.46764'), Decimal('58.381633'))"
Bodaybo,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.225855'), Decimal('57.857975'))"
Bratsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('101.703088'), Decimal('56.365054'))"
Bryansk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.182693'), Decimal('53.213493'))"
Bugulma,2013,4.1,3.88,3.43,3.69,4.1,6.22,4.77,4.24,2.8,2.61,2.97,3.68,46.49,"(Decimal('52.790306'), Decimal('54.634026'))"
Petrel,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('147.622486'), Decimal('44.920825'))"
Vanavara,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('102.303298'), Decimal('60.351026'))"
Varandey,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.202862'), Decimal('68.846223'))"
Верхневилюйск,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.278784'), Decimal('63.457425'))"
Vizhas,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.901117'), Decimal('66.637077'))"
Viljujsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('121.691798'), Decimal('63.754713'))"
Витим,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.566271'), Decimal('59.459285'))"
Vladivostok (Knevichi),2013,2009.4,1835.9,2711,2869.7,2922.4,2698.9,2415.9,3419.1,3213.9,3367.6,3117.9,3060.5,33642.2,"(Decimal('132.165103'), Decimal('43.396702'))"
Vladikavkaz (Beslan),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.604633'), Decimal('43.201857'))"
Vladimir,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.316228'), Decimal('56.123257'))"
Volgograd (Gumrak),2013,45,72,66,65,60,69,67,71,81,84,93,97,870,"(Decimal('44.356743'), Decimal('48.792276'))"
Vologda,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.936025'), Decimal('59.284144'))"
Volokovaya,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.238974'), Decimal('66.483341'))"
Vorkuta,2013,45.92,70.38,57.09,78.14,111.76,88.26,92.52,90.26,76.66,75.34,48.55,73.59,908.47,"(Decimal('64.00447'), Decimal('67.490244'))"
Voronezh (Chertovitskoe),2013,8.27,7.64,8.97,6.15,4.97,6.77,8.42,8.51,8.82,7.7,7.75,9.59,93.56,"(Decimal('39.225359'), Decimal('51.812576'))"
Vuktyl,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.286293'), Decimal('63.826824'))"
Gelendzhik,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.025156'), Decimal('44.593815'))"
Gorno-Altaisk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.841302'), Decimal('51.969985'))"
Terrible (North),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.699751'), Decimal('43.384707'))"
Kervan,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Distance,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('133.730759'), Decimal('45.879914'))"
deputy,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('139.903775'), Decimal('69.391802'))"
Dixon,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('80.383003'), Decimal('73.516386'))"
Dudinka,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.176769'), Decimal('69.389122'))"
Yeisk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.220872'), Decimal('46.680447'))"
Ekaterinburg (Koltsovo),2013,1472.63,2592.93,2257.54,2026.23,1963.82,1835.54,1937.13,2417.04,2256.46,2417.53,2213.23,2160.89,25550.97,"(Decimal('60.802263'), Decimal('56.750256'))"
Ekaterinburg (Uktus),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.802263'), Decimal('56.750256'))"
Yelizovo (Avachinskiy),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.425285'), Decimal('53.169328'))"
Pitorafik,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.098589'), Decimal('58.464048'))"
Erbogaçen,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.019592'), Decimal('61.274815'))"
Jigansk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('123.362449'), Decimal('66.788511'))"
Zhukovsky,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.117727'), Decimal('55.56167'))"
Gulf Lawrence (Lawrence),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-71.970927'), Decimal('46.619124'))"
Zeyskaya,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.087987'), Decimal('53.690803'))"
Zonalnoe,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('142.756348'), Decimal('50.669311'))"
Zыrjanka,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.898525'), Decimal('65.740391'))"
Ivanovo (Yuzhny),2013,50.41,89.74,68.55,147.92,142.22,47.2,37.35,0.01,37.64,18.8,0,13.72,653.56,"(Decimal('40.94371'), Decimal('56.942303'))"
Igarka,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.61538'), Decimal('67.442834'))"
Vorkuta,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.434979'), Decimal('63.201582'))"
Izhevsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.45064'), Decimal('56.830871'))"
Izhma,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.962626'), Decimal('65.026271'))"
Indiga,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.047682'), Decimal('67.645944'))"
Inta,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.11825'), Decimal('66.053127'))"
Yoshkar-Ola,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.906786'), Decimal('56.700099'))"
Irkutsk,2013,704.72,785.21,927.18,899.78,934.75,841.79,888.1,930.54,935.38,1161.55,1509.86,1263.03,11781.89,"(Decimal('104.355777'), Decimal('52.273103'))"
Harbin,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.033972'), Decimal('44.267001'))"
Kazan,2013,302.14,411.33,378.98,429.53,272.95,209.53,294.95,301.39,289.83,425.6,318.04,412.14,4046.41,"(Decimal('49.298591'), Decimal('55.608089'))"
Kazachinskoye (Kazachinsko),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('107.568638'), Decimal('56.277428'))"
Kaliningrad (Hrabrovo),2013,306.66,333.48,360.46,343.35,302.96,318.49,402.09,357.89,409.6,505.54,421.72,476.94,4539.18,"(Decimal('20.58582'), Decimal('54.883038'))"
Kaluga,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.366974'), Decimal('54.54689'))"
Karatayka,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.412462'), Decimal('68.764539'))"
Starobachaty,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
cedar,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('79.459059'), Decimal('57.616471'))"
Kemerovo,2013,239.56,382.16,331.51,576.17,420.48,306.85,309.88,357.24,423.48,603.27,688.89,557.31,5196.8,"(Decimal('86.118863'), Decimal('55.28199'))"
Keperveem,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.145801'), Decimal('67.844582'))"
Ust-kut,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.051455'), Decimal('57.770078'))"
Kirov,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.346758'), Decimal('58.4975'))"
Kogalym,2013,56.8,98.8,3.7,48.6,18.1,45.7,21.2,3,28.9,55.6,62.8,55.8,499,"(Decimal('74.5295'), Decimal('62.195565'))"
Kodinsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.102052'), Decimal('58.47899'))"
Kolpaşevo,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Komsomolsk-on-Amur,2013,192.76,256.47,248.39,496.16,153.65,165.57,104.36,104.36,107.21,196.73,168.55,425.13,2619.34,"(Decimal('136.929004'), Decimal('50.403351'))"
Kondinskoye,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('67.421005'), Decimal('59.654312'))"
Koryaki (Koryaksky),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Kostroma,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('41.013303'), Decimal('57.807633'))"
Kotkin,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('51.114283'), Decimal('67.027658'))"
Kotlas,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.703403'), Decimal('61.237562'))"
Krasnodar (Paszkowski),2013,383.62,498.31,535.67,568.04,551.18,614.05,591.91,644.7,625.79,656.48,619.46,663.72,6952.93,"(Decimal('39.139669'), Decimal('45.033923'))"
Krasnoselkup,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.460555'), Decimal('65.716517'))"
Krasnoyarsk (Emelyanovo),2013,1049.8,1599.84,1457.61,1070.77,1147.77,1194.48,913.67,1648.96,1308.76,1408.72,1433.91,1723.66,15957.95,"(Decimal('92.486391'), Decimal('56.180578'))"
Krasnoyarsk (Cheremshanka),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.486391'), Decimal('56.180578'))"
Mound,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.411582'), Decimal('55.462896'))"
Kurilsk (Clear),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Kursk (Eastern),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.282442'), Decimal('51.749429'))"
red,2013,4.64,4.02,13.26,5.38,6.66,12.02,28.92,14.7,7.44,11.56,2.55,11.8,122.95,"(Decimal('94.40495'), Decimal('51.676108'))"
Labozhskoe,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.092791'), Decimal('67.329986'))"
Zabaykalsk,2013,13.28,19.47,25.69,46.21,117.78,112.32,151.85,176.89,147.18,145.8,112.18,44.06,1112.71,"(Decimal('114.831553'), Decimal('60.722585'))"
Лешуконское,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.739403'), Decimal('64.893683'))"
Lipetsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.524561'), Decimal('52.698037'))"
Magadan (Magadan-13),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.918648'), Decimal('59.623593'))"
Magadan (Falcon),2013,516,675,750,821,853,901,869,885,777,863,782,877,9569,"(Decimal('150.73116'), Decimal('59.914272'))"
Magnitogorsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.761516'), Decimal('53.391002'))"
Maikop,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mom,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.894758'), Decimal('58.314348'))"
Manila,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('165.340345'), Decimal('62.48391'))"
brand,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('170.415063'), Decimal('64.668558'))"
Makhachkala (Uytash),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.655707'), Decimal('42.820909'))"
Mezhdurechensk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mezen,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.214755'), Decimal('65.873771'))"
Milkovo,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.568826'), Decimal('54.681956'))"
Mineral water,2013,144,166,165,167,164,154,129,166,176,194,178,180,1983,"(Decimal('43.087648'), Decimal('44.217799'))"
Peaceful,2013,588.54,734.93,849,1119.95,1280.22,1022.41,980.86,1170.45,1168.23,1452.5,1707.54,1428.95,13503.58,"(Decimal('114.022431'), Decimal('62.531382'))"
Moscow (Bykovo),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Vnukovo),2013,2488.53,2576.32,2692.21,3071.97,2935.71,2923.75,2908.36,3376.82,3454.21,3619.83,4136.88,4350.51,38535.1,"(Decimal('37.295014'), Decimal('55.608562'))"
Moscow (Domodedovo),2013,10029.96,12379.53,14225.51,13922.46,14192.5,14313.86,14782.9,15152.97,15066.81,15937.11,15902.25,17048.74,172954.6,"(Decimal('37.767995'), Decimal('55.437168'))"
Moscow (Ostafyevo),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Sheremetyevo),2013,13905,14211.2,19005.2,18592.5,18257.8,18113.5,18822.3,19725.6,20170.3,21415,21386.5,18657.4,222262.3,"(Decimal('37.405974'), Decimal('55.962962'))"
Мотыгино,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('94.738926'), Decimal('58.181907'))"
Murmansk,2013,102.7,115.9,194.6,162.7,126,116.9,125,119.3,120.4,148.7,145.1,180.5,1657.8,"(Decimal('32.758163'), Decimal('68.784743'))"
Cape Schmidt,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-179.380105'), Decimal('68.864431'))"
Cape-Stone,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nadym,2013,39.73,48.72,45.74,45.81,63.03,47.28,37.37,48.26,48.86,71.08,55.38,61.47,612.73,"(Decimal('72.69258'), Decimal('65.479934'))"
Nazran (Magas / Sleptsovskaya),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nalchik,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('43.635863'), Decimal('43.508409'))"
Naryan-Mar,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.086319'), Decimal('67.633534'))"
Nelkan,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.162463'), Decimal('57.648494'))"
Nerungri (Chulman),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('124.899763'), Decimal('56.905386'))"
Nes,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.666347'), Decimal('66.596872'))"
Nižneangarsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('109.599145'), Decimal('55.801344'))"
Nizhnevartovsk,2013,441.8,575.2,533.2,534.4,533.7,423.9,477.4,438.7,518.6,538.6,574.9,733.9,6324.3,"(Decimal('76.494691'), Decimal('60.951112'))"
Kazan (Begiševo),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.101325'), Decimal('55.564404'))"
Nizhneudinsk,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.063101'), Decimal('54.896019'))"
Nizhny Novgorod (Strigino),2013,49.85,76.73,85.53,83.98,70.07,77.23,100.97,100.57,81.94,95.22,87.52,163.31,1072.92,"(Decimal('43.791127'), Decimal('56.219628'))"
lower Pesha,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.722119'), Decimal('66.739662'))"
Nikolaevsk-on-Amur,2013,9.61,7.74,12.29,8.7,15.15,9.28,6.21,7.42,15.85,11.3,10.53,13.66,127.74,"(Decimal('140.663597'), Decimal('53.149961'))"
Nikolskoye,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.043519'), Decimal('55.177036'))"
Novokuznetsk,2013,79,93,113,91,77,110,99,95,92,139,108,119,1215,"(Decimal('86.864303'), Decimal('53.805377'))"
Novosibirsk (North),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.667491'), Decimal('55.009425'))"
Novosibirsk (Tolmachyovo),2013,1534.7,1763.9,2233.5,2372,2343.6,2221,2323.1,2400.5,2036.3,2529.6,2489.5,2445,26692.7,"(Decimal('82.667491'), Decimal('55.009425'))"
New Urengoy,2013,184.3,206.4,239.7,270.8,269,296.2,296.4,338.7,253.9,254.6,238.3,257.9,3106.2,"(Decimal('76.522422'), Decimal('66.072965'))"
