Release Date,Season,Episode,Episode Title,Name,Sentence
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,How could you possibly know all this? Why would he reveal such plans to his wife's maid?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,I wasn't just her maid. I was his whore.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,mace,I beg your pardon? You said you were his...
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,His whore.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,How did you come to be in his service?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,"He stole me. I was with another man, a knight in your lordship's army. But when Tyrion arrived at the camp, he sent one of his cutthroats into our tent. He broke the knight's arm and brought me to Lord Tyrion. ""You belong to me now,"" he said. ""I want you to fuck me like it's my last night in this world."""
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,Silence. Silence!
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,And did you?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,Did I what?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Fuck him like it was his last night in this world.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,"I did everything he wanted. Whatever he told me to do to him. Whatever he felt like doing to me. I kissed him where he wanted. I licked him where he wanted. I let him put himself where he wanted. I was his property. I would wait in his chambers for hours so he could use me when he was bored. He ordered me to call him ""my lion,"" so I did. I took his face in my hands and said, ""I am yours and you are mine."""
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,Shae. Please don't.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,shae,"I am a whore. Remember? That was before he married Sansa. After that, all he wanted was her. But she wouldn't let him into her bed. So he promised to kill King Joffrey for her."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"Father, I wish to confess. I wish... to confess."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,You wish to confess?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,I saved you. I saved this city and all your worthless lives. I should have let Stannis kill you all.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,Tyrion. Do you wish to confess?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"Yes, Father. I'm guilty. Guilty. Is that what you want to hear?"
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,You admit you poisoned the king?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"No, of that I'm innocent. I'm guilty of a far more monstrous crime. I am guilty of being a dwarf."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,You are not on trial for being a dwarf.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"Oh, yes, I am. I've been on trial for that my entire life."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,Have you nothing to say in your defense?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"Nothing but this-- I did not do it. I did not kill Joffrey, but I wish that I had."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,"Watching your vicious bastard die gave me more relief than 1,000 lying whores."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,I wish I was the monster you think I am. I wish I had enough poison for the whole pack of you. I would gladly give my life to watch you all swallow it.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tywin lannister,Ser Meryn. Ser Meryn. Escort the prisoner back to his cell.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,tyrion lannister,I will not give my life for Joffrey's murder. And I know I'll get no justice here. So I will let the gods decide my fate. I demand a trial by combat.
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,I made a deal for you to keep your ungrateful head on your ungrateful neck a little while longer.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"I'm sorry, what am I grateful for? The opportunity to live and die at the Wall as punishment for a crime I did not commit?"
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,"You threw your life away. You threw it away. It's not a joke. You understand that, don't you?"
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Of course it's a joke, just not a very funny one. I couldn't- I couldn't listen to her standing there telling her lies. I couldn't do it."
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,You fell in love with a whore.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Yes, I fell in love with a whore. And I was stupid enough to think that she had fallen in love with me. That deal you made, it was everything Father wanted. You do see that? He gets you back as his heir. The future Lord of the Rock. And he ships me off to Castle Black, out of sight at last. All so perfect. It felt good to take that from him. He knows I'm innocent and he's willing to sacrifice me anyway. He's willing to sacrifice any of us. Not you. You're the golden son. You could kill a king, lose a hand, fuck your own sister, you'll always be the golden son."
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,Careful. I'm the last friend you've got.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,At least I got to tell them what they really are.
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,"Yes, brilliant speech. They'll be talking about it for days to come. I thought you were a realist. Didn't realize you'd die for pride."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Don't give up on me just yet. I survived one trial by combat, even though you weren't there to save me."
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,I can't save you this time either. My training has proved that I can't beat a stable boy with my left hand.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Where's your sense of adventure? Even if you lose, imagine the look on Father's face when you fall."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Our family name snuffed out with a single swing of the sword.
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,It is tempting.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Well... Bronn fought for me once, he'll do it again. If he wins, I expect I'll be in his debt for the rest of my life."
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,If he wins.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Will you find him for me? Who does Cersei plan on naming as a champion? I hope it's Ser Meryn Trant. I'd enjoy watching Bronn disembowel that pompous child beater.
2014-05-18,Season 4,Episode 7,Mockingbird,jaime lannister,No. Not Ser Meryn.
2014-05-18,Season 4,Episode 7,Mockingbird,guard,"Go on, move it."
2014-05-18,Season 4,Episode 7,Mockingbird,guard,And you. Come on.
2014-05-18,Season 4,Episode 7,Mockingbird,prisoner,"Mercy. Please. Please, mercy."
2014-05-18,Season 4,Episode 7,Mockingbird,cersei lannister,Ser Gregor. Welcome to the capital. Thank you for riding here so quickly.
2014-05-18,Season 4,Episode 7,Mockingbird,cersei lannister,You seem to be in good form.
2014-05-18,Season 4,Episode 7,Mockingbird,mountain,Who am I fighting?
2014-05-18,Season 4,Episode 7,Mockingbird,cersei lannister,Does it matter?
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,Could be food.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Could be soldiers.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,You shouldn't be sitting out here like this.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,"Where else to sit? Tried to walk back to my hut, hurt too much. Then I remembered they burned my hut down."
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,"Who were ""they""?"
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,I stopped asking a while ago.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,That's not gonna get better.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Doesn't seem so.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,A bad way to go. Haven't you had enough?
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Of what? I know. Time to go. Take matters into my own hands. The thought has occurred to me.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,So why go on?
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Habit.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Nothing could be worse than this.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Maybe nothing is worse than this.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Nothing isn't better or worse than anything. Nothing is just nothing.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Who are you?
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,My name is Arya. Arya Stark.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,You her father?
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,Her captor. Bringing her to her aunt for ransom.
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,"A fair exchange, that is. Always held to the notion of fair exchange in all my dealings. You give me, I give you. Fair. A balance. No balance anymore. Could I have a drink? Dying is thirsty work."
2014-05-18,Season 4,Episode 7,Mockingbird,dying man,Wish it were wine.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,So do I.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,That's where the heart is. That's how you kill a man.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,The fuck you doing?
2014-05-18,Season 4,Episode 7,Mockingbird,rorge,There's a price on your head.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,Guess that's what the king does when you tell him to fuck off.
2014-05-18,Season 4,Episode 7,Mockingbird,rorge,The king's dead. He drank poisoned wine at his own wedding. The bounty on you is for killing Lannister soldiers. 100 silver stags.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,"And you thought you were going to collect it? Didn't think very hard, did you?"
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,You were Yoren's prisoners when he was taking me to the Wall. He told me he'd fuck me bloody with a stick.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,This day's really not working out the way you planned. He on your little list?
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,He can't be. I don't know his name.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,What's your name?
2014-05-18,Season 4,Episode 7,Mockingbird,rorge,Rorge.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Thank you.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,You're learning.
2014-05-18,Season 4,Episode 7,Mockingbird,man,Rangers returning!
2014-05-18,Season 4,Episode 7,Mockingbird,man,They return!
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,Greetings.
2014-05-18,Season 4,Episode 7,Mockingbird,man,Didn't think I'd see you again.
2014-05-18,Season 4,Episode 7,Mockingbird,sam,"All right, Jon?"
2014-05-18,Season 4,Episode 7,Mockingbird,man,"Welcome back, brother."
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,Lord Snow.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,This is no place for wild beasts. Lock him away or I'll let Hobb throw him in tonight's stew.
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,"Come on, Ghost."
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,Mance's army was closing in on Craster's Keep when we left. We saw their campfires from Osric's Hill. They'll reach the Wall before the next full moon.
2014-05-18,Season 4,Episode 7,Mockingbird,janos slynt,"I'm surprised you didn't ride over and say hello. The King-beyond-the-Wall is your old friend, isn't he?"
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,We need to prepare.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,We've been preparing.
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,We should seal the tunnel. Plug it with rocks and ice. Flood it and let it freeze.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,And how would we range north?
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,We wouldn't.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"Coward. You would cut off our legs, pluck out our eyes, leave us cowering behind the Wall hoping for the storm to pass?"
2014-05-18,Season 4,Episode 7,Mockingbird,grenn,We can't defend the gate against a hundred thousand men.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"This castle has stood for thousands of years. The Night's Watch has defended her for thousands of years. And in all those centuries, we have never sealed the tunnel."
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,"Have you ever seen a giant, Ser Alliser? I have."
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,The bars on those gates are four inches thick. Cold-rolled steel.
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,They won't stop them.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"Remind me which order you belong to, Lord Snow."
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,The stewards.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,Are the stewards responsible for maintaining the tunnel?
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,No.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,Who would that be?
2014-05-18,Season 4,Episode 7,Mockingbird,jon snow,The builders.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"Ah, the builders. First Builder Yarwyck, Lord Snow here recommends sealing the tunnel, leaving us unable to carry out our duties as sworn brothers of the Night's Watch. Do you agree with him?"
2014-05-18,Season 4,Episode 7,Mockingbird,yarwick,No.
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"Given your deep knowledge of the Wildling army, Lord Snow, you and Tarly will take night duties atop the Wall until the full moon."
2014-05-18,Season 4,Episode 7,Mockingbird,alliser,"Moving on. First Builder, we'll need a hundred barrels of pitch brought atop the wall."
2014-05-18,Season 4,Episode 7,Mockingbird,yarwick,Aye.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,My lord.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,You have new clothes.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,Do you like 'em? Eh? Gloves are doeskin. Softer than a virgin's thighs.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,I sent for you days ago.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,I've been a bit busy.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Doing what?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,My lonesome bachelor days are over. I'm to wed Lollys Stokeworth.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Lollys Stokeworth? She doesn't strike me as your sort of girl.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,I wouldn't say I had a single sort of girl.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,She's dim-witted.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"If I wanted wits, I'd marry you."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"When my sister arranged this love match, did she mention that Lollys has an older sister?"
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"Falyse. Aye, I did know about the older sister."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,And you understand the rules of inheritance?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,Falyse is forty and barren.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,She still gets Castle Stokeworth when her father dies.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,She does. Unless she happens to perish before her father. Then Lollys gets the castle.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,What? Ladies fall from their horses and snap their pretty necks all the time.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,You and my sister deserve each other. Why did you bother to come here?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"You once said if anyone ever asked me to sell you out, you'd double their price."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Is it two wives you want or two castles?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"One of each will do. But if you want me to kill the Mountain for you, it'd better be a damn big castle."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,I'm a bit short on castles at the moment. But I can offer you gold and gratitude.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,I have gold. What can I buy with gratitude?
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,You might be surprised. A Lannister always pays his debts.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"Your sister's a Lannister, too."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"My wife is heir to Winterfell. If I emerge from this with my head still on my shoulders, I may one day rule the North in her name. I could carve you out a big piece of it."
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"If and may and could. It's bloody cold up north. Lollys is soft and warm. And close. If I gave you the choice between fucking Lollys and fighting the Mountain, you'd have your britches down and your cock out before I could blink."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Does he frighten you so much?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"I'd be a bloody fool if he didn't frighten me. He's freakish big and freakish strong. And quicker than you'd expect for a man of that size. Maybe I could take him, dance around until he's so tired of hacking at me, he dropped his sword, get him off his feet somehow. But one misstep... and I'm dead. Why should I risk it?"
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Because you're my friend.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"Aye, I'm your friend. And when have you ever risked your life for me?"
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,"I like you, pampered little shit that you are. I just like myself more."
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,I understand.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,I'm sorry it has to be this way.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,Why are you sorry? Because you're an evil bastard with no conscience and no heart? That's what I liked about you in the first place.
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,We had some good days together.
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,"Yes, we did."
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,What will you do?
2014-05-18,Season 4,Episode 7,Mockingbird,tyrion lannister,I suppose I'll have to kill the Mountain myself. Won't that make for a great song?
2014-05-18,Season 4,Episode 7,Mockingbird,bronn,I hope to hear them sing it one day.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,"How did you get in here? Your door is well guarded,"
2014-05-18,Season 4,Episode 7,Mockingbird,daario,But your window is not.
2014-05-18,Season 4,Episode 7,Mockingbird,daario,I swam to an island a mile offshore for these.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Don't do that again.
2014-05-18,Season 4,Episode 7,Mockingbird,daario,Never met a woman who didn't like wildflowers.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,"These are my private quarters. If I want you here, I will summon you."
2014-05-18,Season 4,Episode 7,Mockingbird,daario,"Forgive me, my queen. I live to serve you."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Tell me why you're here.
2014-05-18,Season 4,Episode 7,Mockingbird,daario,"I came to ask a favor. I only have two talents in this world- war and women. You are staying here in Meereen to rule. That is a wise decision. I respect it. But here in Meereen, I cannot pursue my talents."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,I've ordered the Second Sons to patrol the streets to stop the revenge killing.
2014-05-18,Season 4,Episode 7,Mockingbird,daario,You've ordered us to be night watchmen.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,"And as for women, there are thousands in Meereen you can pursue."
2014-05-18,Season 4,Episode 7,Mockingbird,daario,"There is only one, and she does not want me."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,You swore me your sword.
2014-05-18,Season 4,Episode 7,Mockingbird,daario,My sword is yours till the day I die.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,So if I command you to stay in Meereen and patrol the streets?
2014-05-18,Season 4,Episode 7,Mockingbird,daario,I'll stay in Meereen and patrol the streets. Send me to kill your enemies. Any enemy anywhere. Let me do what I do best.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Very well.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Do what you do best.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Take off your clothes.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,Oh.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"Come in, my queen. Please."
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,"I didn't mean to disturb you, my lady."
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,You could never disturb me.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,I just wanted to speak with you before we left.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,Could you bring me that vial over there? The blue one.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"No, no, no. Not that one. You don't even want to touch that one. Next to it. That's the one."
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"When I looked into the flames this morning, the Lord spoke to me. He said, ""Tonight, you will have your last good bath in a long while. Make it count."" A joke. Not a very good one, I'm afraid."
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,It was. I- humor isn't my strength.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,That's because most jokes are lies and you're devoted to the truth.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,"If they're lies, my lady, aren't they best avoided?"
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,Not always.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"Most of these powders and potions are lies. Deceptions to make men think they witnessed our Lordo s power. Once they step into his light, they will see the lie for what it was-- a trick that lead them to the truth. A pinch of this powder in a bonfire will send a flaming column screaming towards the sky. And this one creates a black smoke that will make the bravest man piss himself with fear. And a drop of this in any man's wine will drive him wild with lust."
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,Did you use it with Stannis?
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,No. Don't be upset. Men never crave what they already have.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,It's only flesh. It needs what it needs.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,"No act done in service of the Lord can ever be called a sin. I thank God every day for bringing you to us. And Stannis to you. He wants to bring Shireen with us. I think that would be ill-advised. My daughter has heretical tendencies, as you're well aware. I don't know if her doubt is real or simply meant to spite me, but whichever the case, she should stay home."
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,I understand how you feel.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,Hmm.
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,But that is impossible.
2014-05-18,Season 4,Episode 7,Mockingbird,selyse,Why?
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"You don't need powders and potions, my queen. You don't need lies. You are strong enough to look into the Lordo s light and see his truth for yourself."
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,"However harsh it is. However hard for us to understand. You don't need my help, but I will need yours soon. When we set sail, your daughter must be with us. The Lord needs her."
2014-05-18,Season 4,Episode 7,Mockingbird,daario,Jorah the Andal. Are you here to see our queen? She's in a good mood.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,Khaleesi.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,You're here early.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,Later than some.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,You don't approve?
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"It's not a question of approval, it's a question of trust."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,You neither approve nor trust.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,Why would I? The man's a sellsword.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Didn't you fight for the Golden Company before pledging your sword to my brother?
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,I did.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,I trust you.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,Daario Naharis killed his captains and dumped their heads at your feet when he grew tired of their commands. How could you ever have faith in a man like that?
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,I could never have faith in a man like Daario. That's why I've sent him and the Second Sons to retake Yunkai.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,You have?
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,I have.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"Without you there to rule, Khaleesi, I fear the masters will simply bide their time, wait for the invaders to leave and reassert control."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,"That is why I've ordered Daario to execute every master in Yunkai. The masters tear babies from their mothers' arms. They mutilate little boys by the thousands. They train little girls in the art of pleasuring old men. They treat men like beasts, as you said yourself."
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"Herding the masters into pens and slaughtering them by the thousands is also treating men like beasts. The slaves you freed, brutality is all they've ever known. If you want them to know something else, you'll have to show it to them."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,And repay the slavers with what? Kindness? A fine? A stern warning?
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"It's tempting to see your enemies as evil, all of them, but there's good and evil on both sides in every war ever fought."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,Let the priests argue over good and evil. Slavery is real. I can end it. I will end it. And I will end those behind it.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"I sold men into slavery, Khaleesi."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,And now you are helping me show them to freedom.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,I wouldn't be here to help you if Ned Stark had done to me what you want to do to the masters of Yunkai.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,The man who came to me the other day about burying his father.
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,Hizdahr zo Loraq?
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,He will accompany the Second Sons and serve as my ambassador to Yunkai. He will tell the masters what has happened in Meereen. He will explain the choice they have before them. They can live in my new world or they can die in their old one.
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,"Well, go and catch Daario before he leaves. Tell him I changed my mind."
2014-05-18,Season 4,Episode 7,Mockingbird,jorah mormont,"Yes, Khaleesi."
2014-05-18,Season 4,Episode 7,Mockingbird,daenerys targaryen,No. Tell him you changed my mind.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,Rat cunts. Fucking whore.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,"You're doing it wrong. You need to burn away that horrible bit there. Otherwise it's gonna get infected and fester. I know you don't like fire, but if you don't do it right-"
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,No fire.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,It'll only take a second. It won't hurt that much.
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,No fire!
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,"Shut up about it. Shut up about everything. Thanks to you, I'm a walking bag of silver anywhere the Lannisters hold sway. Which is everywhere between where we are now and where we're going."
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,"I'm as stupid as that hog you stuck back in the village, getting myself cut and stabbed and bitten. No reward is worth this much trouble. Wish I'd never laid eyes on you. You say your brother gave you that sword."
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,My brother gave me this. It was just like you said a while back. Pressed me to the fire like I was a nice juicy mutton chop.
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Why?
2014-05-18,Season 4,Episode 7,Mockingbird,sandor clegane,"Thought I stole one of his toys. I didn't steal it. I was just playing with it. The pain was bad. The smell was worse. But the worst thing was that it was my brother who did it. My father, who protected him... told everyone my bedding caught fire. You think you're on your own?"
2014-05-18,Season 4,Episode 7,Mockingbird,arya stark,Let me wash it out and help you sew it up at least.
